Text,Label
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/19176 క్లిక్ చేయండి,1
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ బ్యాలెన్స్ ₹2000 ఉంది,0
మీ ఖాతాలో ₹500 జమ చేయబడింది,0
మీ విద్యుత్ బిల్లు ఈ నెల ₹1000 రూపాయలు,0
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9272653112,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/66696 క్లిక్ చేయండి,1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF9855,0
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/98791 క్లిక్ చేయండి,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9511572275,1
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/65666 క్లిక్ చేయండి,1
మీ బ్యాలెన్స్ ₹250 ఉంది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/53541",1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9414483851,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9445491901 ను సంప్రదించండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹2000 రూపాయలు,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9601499270,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF7747,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9118146928 ను సంప్రదించండి,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/57188 క్లిక్ చేయండి,1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ బ్యాలెన్స్ ₹250 ఉంది,0
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/73269 సందర్శించండి,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF6195,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9101292168 ను సంప్రదించండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹500 రూపాయలు,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF9043,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ ఖాతాలో ₹100 జమ చేయబడింది,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9930254832 ను సంప్రదించండి,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/23964 క్లిక్ చేయండి,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/80587 క్లిక్ చేయండి,1
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9440415581 ను సంప్రదించండి,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9915331514,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9456430400,1
మీ బ్యాలెన్స్ ₹2000 ఉంది,0
మీ బ్యాలెన్స్ ₹250 ఉంది,0
మీ ఖాతాలో ₹2000 జమ చేయబడింది,0
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/88720,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/63596,1
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/62075,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9896654562,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ బ్యాలెన్స్ ₹500 ఉంది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/26232",1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9137906702,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ఖాతాలో ₹1000 జమ చేయబడింది,0
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/49393 సందర్శించండి,1
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9800389601 ను సంప్రదించండి,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/82608 క్లిక్ చేయండి,1
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/98468,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹100 రూపాయలు,0
మీ ఖాతాలో ₹1000 జమ చేయబడింది,0
మీ విద్యుత్ బిల్లు ఈ నెల ₹100 రూపాయలు,0
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/79777 సందర్శించండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/72962,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ విద్యుత్ బిల్లు ఈ నెల ₹100 రూపాయలు,0
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹100 రూపాయలు,0
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/32262,1
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9810581840,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఖాతాలో ₹2000 జమ చేయబడింది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/37196",1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9476630084 ను సంప్రదించండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9733381660,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ బ్యాలెన్స్ ₹2000 ఉంది,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/94348",1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF6761,0
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ఖాతాలో ₹500 జమ చేయబడింది,0
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF9228,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/57652",1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9545660279,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/22140 క్లిక్ చేయండి,1
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9375052196 ను సంప్రదించండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF5122,0
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9190723873,1
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/71004,1
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/29296 సందర్శించండి,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ విద్యుత్ బిల్లు ఈ నెల ₹2000 రూపాయలు,0
మీ ఖాతాలో ₹250 జమ చేయబడింది,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/33323 సందర్శించండి,1
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/45219,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/83972 క్లిక్ చేయండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9778231459 ను సంప్రదించండి,1
మీ ఖాతాలో ₹500 జమ చేయబడింది,0
మీ ఖాతాలో ₹1000 జమ చేయబడింది,0
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/91369,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/97718 క్లిక్ చేయండి,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF7938,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/60847 క్లిక్ చేయండి,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹100 రూపాయలు,0
మీ ఖాతాలో ₹250 జమ చేయబడింది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/19315",1
మీ విద్యుత్ బిల్లు ఈ నెల ₹2000 రూపాయలు,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF6912,0
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/95373,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/32588",1
మీ ఖాతాలో ₹1000 జమ చేయబడింది,0
మీ ఖాతాలో ₹250 జమ చేయబడింది,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/46568 క్లిక్ చేయండి,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9768540545 ను సంప్రదించండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9302522143 ను సంప్రదించండి,1
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ఖాతాలో ₹2000 జమ చేయబడింది,0
మీ ఖాతాలో ₹250 జమ చేయబడింది,0
మీ ఖాతాలో ₹100 జమ చేయబడింది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/49888",1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9427152833,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9156840394,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9280270787 ను సంప్రదించండి,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹1000 రూపాయలు,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ ఖాతాలో ₹500 జమ చేయబడింది,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9828537621 ను సంప్రదించండి,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF8622,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ ఖాతాలో ₹1000 జమ చేయబడింది,0
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ ఖాతాలో ₹100 జమ చేయబడింది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/27685",1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/98468 క్లిక్ చేయండి,1
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/91971",1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9546152572,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9461143776 ను సంప్రదించండి,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/90859 సందర్శించండి,1
మీ విద్యుత్ బిల్లు ఈ నెల ₹250 రూపాయలు,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ రెచార్జ్ విజయవంతమైంది,0
మీ KYC వివరాలు అప్డేట్ చేయండి. లేకపోతే ఖాతా బ్లాక్ అవుతుంది,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/97569 క్లిక్ చేయండి,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF9474,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9577967007 ను సంప్రదించండి,1
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/96997",1
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/30988",1
మీ విద్యుత్ బిల్లు ఈ నెల ₹100 రూపాయలు,0
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF8738,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9135118295 ను సంప్రదించండి,1
మీ రెచార్జ్ విజయవంతమైంది,0
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ బ్యాలెన్స్ ₹2000 ఉంది,0
మీ బ్యాలెన్స్ ₹2000 ఉంది,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ బ్యాంక్ ఖాతా సస్పెండ్ అయింది. లాగిన్ చేయండి: http://bit.ly/49866,1
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/81198 క్లిక్ చేయండి,1
మీ బ్యాలెన్స్ ₹250 ఉంది,0
మీ ఖాతా నుండి డబ్బు డిడక్ట్ అయింది. రీఫండ్ పొందేందుకు http://bit.ly/10282 సందర్శించండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9584684025,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ బ్యాలెన్స్ ₹500 ఉంది,0
"మీ క్షమించండి, మీరు అకౌంట్ మిస్ చేశారు. తిరిగి పొందేందుకు క్లిక్ చేయండి: http://bit.ly/26650",1
మీ బ్యాలెన్స్ ₹500 ఉంది,0
మీ మొబైల్ నెంబర్ వెరిఫికేషన్ కోసం OTP షేర్ చేయండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9530145621 ను సంప్రదించండి,1
మీరు ₹10 లక్షల లాటరీ గెలిచారు! వివరాల కోసం 9130003103 ను సంప్రదించండి,1
మీ పాన్ కార్డ్ లింక్ కాలేదు. వెంటనే అప్డేట్ చేయండి,1
మీ ATM కార్డ్ బ్లాక్ అయింది. రీఅక్టివేట్ చేయడానికి http://bit.ly/64448 క్లిక్ చేయండి,1
మీ ఆధార్ కార్డ్ గడువు ముగిసింది. లింక్ చేయండి,1
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
మీ గ్యాస్ బుకింగ్ స్వీకరించబడింది,0
మీ టికెట్ బుక్ చేయబడింది. ధన్యవాదాలు,0
మీ కొత్త ఆర్డర్ డిస్పాచ్ చేయబడింది,0
మీ ఇన్షూరెన్స్ నూతనీకరణ విజయవంతం,0
మీ ఖాతా బ్లాక్ చేయబడుతుంది. వెంటనే కాల్ చేయండి: 9641543743,1
మీ బస్ టికెట్ రిఫరెన్స్ నం: REF7644,0
మీ బ్యాలెన్స్ ₹1000 ఉంది,0
మీ ప్యాకేజీ రేపు డెలివరీ అవుతుంది,0
